mean_mae,position_source_mae,rich_mae,rich_minus_position_mae,rich_minus_mean_mae
0.07938288757621849,0.06429508450438012,0.04931909664293912,-0.014975987861441005,-0.03006379093327937
0.06552342945495246,0.04944979247473713,0.03543145870855249,-0.014018333766184637,-0.030091970746399965
0.08409159869735373,0.06832262103491911,0.05464844643709143,-0.01367417459782768,-0.029443152260262305
0.07766341046701031,0.061514213359977025,0.04550571512518482,-0.016008498234792203,-0.032157695341825485
0.06701297432564891,0.04958418536925954,0.036352470798714905,-0.013231714570544638,-0.03066050352693401
0.07381503381700609,0.05796139424591049,0.044086548269114824,-0.013874845976795669,-0.029728485547891266
0.0746993059223706,0.059834763836238876,0.047012524884612626,-0.01282223895162625,-0.027686781037757978
0.08073249121313279,0.06433846952401089,0.051148520874121334,-0.013189948649889552,-0.02958397033901146
0.0703473403061688,0.05270003980439314,0.037359802533331966,-0.015340237271061173,-0.03298753777283684
0.06604508445113175,0.04960616070471847,0.03668679275954754,-0.012919367945170929,-0.029358291691584208
0.08408339781963706,0.07195611133729489,0.05877690999374545,-0.01317920134354944,-0.025306487825891608
0.07783262179770727,0.06392632290735306,0.04798733233217138,-0.01593899057518168,-0.029845289465535885
0.0663254481627068,0.05249636416913667,0.03823279248686392,-0.014263571682272748,-0.028092655675842883
0.08609955350812931,0.07091879636286605,0.057527727644809366,-0.013391068718056683,-0.028571825863319945
0.06910933885261843,0.051364601278823474,0.03789613251965312,-0.013468468759170356,-0.03121320633296531
0.07302672035292995,0.055072318697293794,0.04073989379843777,-0.014332424898856028,-0.032286826554492186
0.07744481334994904,0.06378926353863344,0.0483611225206783,-0.015428141017955144,-0.029083690829270745
0.09938726780715648,0.08683686718873367,0.07320619277803206,-0.013630674410701607,-0.026181075029124423
0.06743099363206902,0.05061016106909199,0.036706433566500905,-0.013903727502591084,-0.03072456006556811
0.07798381089887253,0.06246634496921265,0.04798859181208409,-0.014477753157128556,-0.02999521908678844
0.06734086605655938,0.05073998914637818,0.037488834617461886,-0.013251154528916294,-0.029852031439097496
0.08290520683900537,0.06969506759020515,0.056126100645464645,-0.013568966944740503,-0.02677910619354073
0.0705179604424149,0.0547762264796756,0.03867691122925385,-0.01609931525042175,-0.03184104921316105
0.07608426663070389,0.06304714816935021,0.049705064565298676,-0.013342083604051536,-0.026379202065405213
0.07218264264626242,0.05327287000662773,0.03592741966677735,-0.017345450339850382,-0.03625522297948507
0.08493060083046228,0.0689222928310688,0.05410878353825995,-0.014813509292808842,-0.030821817292202326
0.0873212206663583,0.07275821919127708,0.057043606034337335,-0.01571461315693974,-0.03027761463202097
0.0650423605238159,0.05057818294965158,0.03788090253231607,-0.012697280417335512,-0.027161457991499834
0.08176431703298935,0.06751070097766161,0.0529871781320252,-0.014523522845636412,-0.02877713890096415
0.0684403926711147,0.05227304394731633,0.03822440366537565,-0.01404864028194068,-0.030215989005739047
0.08403324574184347,0.06839975672679283,0.05438305861987422,-0.014016698106918607,-0.02965018712196925
0.07856808068780108,0.06353425348716438,0.05146639056851205,-0.012067862918652326,-0.027101690119289028
0.09728070352110815,0.08648393916913928,0.07383195332994867,-0.01265198583919061,-0.02344875019115948
0.06760282716077275,0.05180814559875224,0.03736370487015447,-0.014444440728597775,-0.03023912229061828
0.07362903032416813,0.058325634058730584,0.04225593794775782,-0.016069696110972767,-0.03137309237641032
0.08065627707361234,0.06553276609430436,0.05210104091458871,-0.01343172517971565,-0.028555236159023625
